LSOA_code,Total: All households,Household is not deprived in any dimension,Household is deprived in one dimension,Household is deprived in two dimensions,Household is deprived in three dimensions,Household is deprived in four dimensions
E01033031 : Leeds 064E,868,395,314,114,43,2
E01033035 : Leeds 064F,772,182,310,206,69,5
E01011344 : Leeds 065A,836,227,351,194,55,9
E01011347 : Leeds 065B,788,207,322,189,63,7
E01011348 : Leeds 065C,678,194,281,153,44,6
E01011349 : Leeds 065D,925,226,392,231,73,3
E01011586 : Leeds 066A,698,353,235,91,19,0
E01011595 : Leeds 066B,804,461,248,79,16,0
E01011597 : Leeds 066C,561,276,193,76,16,0
E01011599 : Leeds 066D,706,375,225,87,18,1
E01011287 : Leeds 067B,653,307,235,94,17,0
E01032499 : Leeds 067G,701,382,220,84,13,2
E01032500 : Leeds 067H,642,223,265,105,44,5
E01032606 : Leeds 067I,926,411,324,152,37,2
E01032607 : Leeds 067J,649,284,208,105,41,11
E01032608 : Leeds 067K,519,221,191,85,20,2
E01011608 : Leeds 068A,598,231,236,106,23,2
E01011609 : Leeds 068B,661,262,235,117,44,3
E01011610 : Leeds 068C,691,370,223,80,13,5
E01011611 : Leeds 068D,622,209,218,138,52,5
E01011614 : Leeds 068E,853,484,255,102,12,0
E01011413 : Leeds 069A,594,349,179,59,7,0
E01011415 : Leeds 069B,733,402,239,78,12,2
E01011416 : Leeds 069C,616,316,212,77,11,0
E01011417 : Leeds 069D,739,322,272,128,17,0
E01011420 : Leeds 069E,629,304,240,77,8,0
E01011615 : Leeds 070A,652,258,246,117,31,0
E01011617 : Leeds 070B,684,223,241,141,71,8
E01011618 : Leeds 070C,711,230,286,134,54,7
E01011621 : Leeds 070D,594,211,196,126,57,4
E01011284 : Leeds 071A,1091,501,351,160,72,7
E01011292 : Leeds 071B,960,261,350,254,86,9
E01011293 : Leeds 071C,850,286,321,176,62,5
E01011294 : Leeds 071D,489,132,186,110,59,2
E01011363 : Leeds 071E,860,292,352,154,54,8
E01011616 : Leeds 072A,696,236,252,135,73,0
E01011620 : Leeds 072B,495,164,179,113,35,4
E01011622 : Leeds 072C,704,262,228,135,74,5
E01011624 : Leeds 072D,724,235,263,174,50,2
E01011411 : Leeds 073A,733,458,215,52,8,0
E01011414 : Leeds 073B,644,383,199,51,11,0
E01011418 : Leeds 073C,625,378,188,56,3,0
E01011419 : Leeds 073D,496,291,161,41,3,0
E01011396 : Leeds 074A,895,497,257,112,28,1
E01011399 : Leeds 074B,622,329,205,74,13,1
E01011400 : Leeds 074C,604,291,205,79,29,0
E01011403 : Leeds 074D,671,322,252,85,12,0
E01011623 : Leeds 075B,701,192,270,167,64,8
E01011625 : Leeds 075C,735,255,271,152,52,5
E01011626 : Leeds 075D,1168,417,473,223,49,6
E01033021 : Leeds 075E,1079,484,327,190,77,1
E01033033 : Leeds 075F,655,381,189,60,25,0
E01033034 : Leeds 075G,916,636,247,28,5,0
E01011602 : Leeds 076A,908,441,309,136,22,0
E01011603 : Leeds 076B,709,406,233,60,9,1
E01011605 : Leeds 076C,716,430,219,60,7,0
E01011606 : Leeds 076D,762,353,263,124,21,1
E01011613 : Leeds 076E,696,340,237,85,32,2
E01011397 : Leeds 077A,607,346,187,63,11,0
E01011398 : Leeds 077B,492,311,142,34,5,0
E01011401 : Leeds 077C,712,440,195,70,7,0
E01011404 : Leeds 077D,544,297,187,54,6,0
E01011405 : Leeds 077E,657,332,242,73,10,0
E01011725 : Leeds 078A,677,216,223,147,88,3
E01011729 : Leeds 078B,800,274,286,159,75,6
E01011730 : Leeds 078C,677,265,206,139,57,10
E01011735 : Leeds 078D,709,228,241,180,55,5
E01011600 : Leeds 079A,689,378,212,89,10,0
E01011601 : Leeds 079B,666,332,216,87,28,3
E01011604 : Leeds 079C,622,368,180,58,16,0
E01011607 : Leeds 079D,708,364,247,77,18,2
E01011612 : Leeds 079E,740,292,279,135,33,1
E01011726 : Leeds 080A,660,234,245,133,44,4
E01011727 : Leeds 080B,678,356,225,69,26,2
E01011728 : Leeds 080C,617,312,219,74,12,0
E01011739 : Leeds 080D,739,220,268,165,83,3
E01011362 : Leeds 081A,1031,338,332,248,106,7
E01011731 : Leeds 081B,598,281,229,75,12,1
E01011732 : Leeds 081C,803,423,258,94,26,2
E01011733 : Leeds 081D,727,355,252,103,16,1
E01011366 : Leeds 082A,787,257,282,169,72,7
E01011368 : Leeds 082C,720,209,271,168,61,11
E01011370 : Leeds 082D,687,224,254,143,58,8
E01033013 : Leeds 082E,719,343,233,104,33,6
E01035046 : Leeds 082G,762,403,289,65,5,0
E01035047 : Leeds 082H,634,301,244,72,16,1
E01011734 : Leeds 083A,1191,724,339,106,19,3
E01011736 : Leeds 083B,641,315,226,85,15,0
E01011737 : Leeds 083C,765,286,265,167,45,2
E01011738 : Leeds 083D,651,356,200,70,25,0
E01011364 : Leeds 085A,876,325,310,155,78,8
E01011371 : Leeds 085B,754,199,289,196,69,1
E01011373 : Leeds 085C,589,183,217,134,47,8
E01011374 : Leeds 085D,594,224,205,113,49,3
E01011312 : Leeds 086A,751,172,296,195,83,5
E01011316 : Leeds 086B,694,209,282,136,61,6
E01011372 : Leeds 086C,581,148,235,125,67,6
E01011375 : Leeds 086D,689,173,293,141,67,15
E01011390 : Leeds 087A,600,262,201,102,35,0
E01011391 : Leeds 087B,719,279,251,151,38,0
E01011392 : Leeds 087C,813,425,239,127,22,0
E01011402 : Leeds 087D,885,455,297,117,15,1
E01011298 : Leeds 088A,702,305,229,133,32,3
E01011299 : Leeds 088B,1167,657,341,135,31,3
E01011302 : Leeds 088C,780,438,267,63,12,0
E01011303 : Leeds 088D,495,224,169,90,12,0
E01011300 : Leeds 089A,620,271,210,109,28,2
E01011301 : Leeds 089B,555,307,171,69,7,1
E01011304 : Leeds 089C,703,283,229,141,46,4
E01011305 : Leeds 089D,653,358,208,74,13,0
E01011306 : Leeds 089E,544,310,173,55,6,0
E01011315 : Leeds 090A,655,252,252,121,30,0
E01011317 : Leeds 090B,882,280,319,189,90,4
E01011318 : Leeds 090C,640,209,261,135,34,1
E01011321 : Leeds 090D,664,245,220,146,49,4
E01011369 : Leeds 090E,743,308,263,144,25,3
E01011313 : Leeds 091A,647,279,224,109,31,4
E01011314 : Leeds 091B,673,284,256,107,25,1
E01011319 : Leeds 091C,618,267,225,98,25,3
E01011320 : Leeds 091D,687,295,268,114,10,0
E01011322 : Leeds 091E,688,310,240,106,29,3
E01011471 : Leeds 092A,660,180,249,151,77,3
E01011472 : Leeds 092B,714,208,250,172,81,3
E01011473 : Leeds 092C,614,191,205,157,56,5
E01011474 : Leeds 092D,657,203,256,130,65,3
E01011518 : Leeds 093A,1000,571,286,116,26,1
E01011524 : Leeds 093B,554,310,193,46,5,0
E01011526 : Leeds 093C,488,316,143,26,3,0
E01011531 : Leeds 093D,770,385,257,113,15,0
E01011466 : Leeds 094A,638,225,227,120,62,4
E01011469 : Leeds 094B,630,272,245,94,19,0
E01011475 : Leeds 094C,697,201,270,165,58,3
E01011476 : Leeds 094D,492,161,170,117,41,3
E01011519 : Leeds 095A,678,283,214,131,45,5
E01011522 : Leeds 095B,593,337,190,61,5,0
E01011525 : Leeds 095C,697,358,220,94,25,0
E01011528 : Leeds 095D,623,398,167,49,9,0
E01011532 : Leeds 095E,708,272,238,156,42,0
E01011520 : Leeds 096A,674,351,224,79,18,2
E01011521 : Leeds 096B,998,554,305,106,31,2
E01011523 : Leeds 096C,816,410,254,127,24,1
E01011527 : Leeds 096D,773,424,261,76,10,2
E01011529 : Leeds 096E,584,260,200,92,32,0
E01011635 : Leeds 097B,772,456,224,79,13,0
E01011637 : Leeds 097C,726,390,224,81,30,1
E01011638 : Leeds 097D,624,331,192,85,15,1
E01032487 : Leeds 097F,455,173,159,91,30,2
E01032488 : Leeds 097G,758,439,229,66,24,0
E01011627 : Leeds 098A,586,240,202,115,27,2
E01011628 : Leeds 098B,583,285,222,69,7,0
E01011629 : Leeds 098C,622,279,202,112,28,1
E01011632 : Leeds 098D,599,227,199,134,35,4
E01011633 : Leeds 098E,643,334,194,94,19,2
E01011502 : Leeds 099C,586,189,229,140,27,1
E01032497 : Leeds 099E,634,221,219,136,54,4
E01032498 : Leeds 099F,719,307,251,125,35,1
E01035048 : Leeds 099G,782,427,235,96,22,2
E01035049 : Leeds 099H,696,414,191,71,18,2
E01011496 : Leeds 100A,608,388,179,38,3,0
E01011630 : Leeds 100B,892,518,268,82,23,1
E01011634 : Leeds 100C,678,303,235,116,23,1
E01011636 : Leeds 100D,839,442,292,90,15,0
E01011639 : Leeds 100E,640,257,218,120,43,2
E01011491 : Leeds 101A,608,199,213,140,53,3
E01011492 : Leeds 101B,662,224,230,151,55,2
E01011493 : Leeds 101C,664,222,230,146,65,1
E01011494 : Leeds 101D,629,231,250,105,42,1
E01011497 : Leeds 101E,678,201,245,169,58,5
E01011540 : Leeds 102B,874,404,268,140,58,4
E01032489 : Leeds 102F,987,556,278,118,30,5
E01032490 : Leeds 102G,577,342,165,56,14,0
E01032491 : Leeds 102H,490,298,152,33,7,0
E01032492 : Leeds 102I,1066,452,357,182,70,5
E01011307 : Leeds 103A,650,284,227,114,23,2
E01011308 : Leeds 103B,664,313,236,104,11,0
E01011393 : Leeds 103C,908,544,255,90,18,1
E01011394 : Leeds 103D,493,239,176,64,14,0
E01011395 : Leeds 103E,465,264,130,51,19,1
E01011533 : Leeds 104A,750,339,264,115,31,1
E01011541 : Leeds 104B,1184,500,391,231,59,3
E01011545 : Leeds 104C,666,314,235,97,19,1
E01011547 : Leeds 104D,935,439,309,142,44,1
E01011500 : Leeds 105D,683,325,230,112,16,0
E01032496 : Leeds 105F,953,512,309,108,24,0
E01035050 : Leeds 105G,613,359,176,61,16,1
E01035051 : Leeds 105H,606,379,175,47,5,0
E01035052 : Leeds 105I,594,350,128,91,23,2
E01035053 : Leeds 105J,656,375,211,58,9,3
E01011530 : Leeds 106A,636,328,213,80,15,0
E01011534 : Leeds 106B,1018,647,270,82,18,1
E01011546 : Leeds 106C,784,363,258,134,27,2
